Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
9/24/2019	DV	AV4	10WI	10	W	I	NA	0.1968	-3.324	35.6	0.997	22.29	22.57	1.05E+04	8.61E+03		10	1049	861	955	133	0.14			
11/11/2019	DV	AV4	11WI	11	W	I	NA	0.6527	-3.162	36.57	0.997	23.32	23.37	1.56E+04	1.50E+04		10	1556	1500	1528	40	0.03			
11/11/2019	DV	AV4	13WI	13	W	I	NA	0.6527	-3.162	36.57	0.997	21.88	21.78	4.44E+04	4.75E+04		10	4439	4749	4594	219	0.05			
11/11/2019	DV	AV4	12WI	12	W	I	NA	0.6527	-3.162	36.57	0.997	21.67	21.51	5.16E+04	5.81E+04		10	5157	5810	5484	462	0.08			
9/24/2019	DV	AV4	9WI	9	W	I	NA	0.1968	-3.324	35.6	0.997	19.04	NA	9.97E+04	NA		10	9965	  	9965					
7/5/2019	DV	AV4	8WL	8	W	L	NA	0.5126	-3.254	37.18	0.999	32.96	32.79	2.12E+01	2.39E+01		10	2.1	2.4	2.3	0.2	0.08			
5/22/2019	DV	AV4	4WL	4	W	L	NA	0.3245	-3.285	0	0.998	30.55	30.82	4.35E+01	3.61E+01		11.85	3.67	3.05	3.67	0.62	0.17	30.33	5.09E+01	4.30E+00
11/11/2019	DV	AV4	11WL	11	W	L	NA	0.6527	-3.162	36.57	0.997	22.27	22.37	3.33E+04	3.10E+04		10	3331	3099	3215	164	0.05			
11/11/2019	DV	AV4	12WL	12	W	L	NA	0.6527	-3.162	36.57	0.997	20.53	20.68	1.18E+05	1.06E+05		10	11830	10630	11230	849	0.08			
5/22/2019	DV	AV4	3WL	3	W	L	NA	0.3245	-3.285	0	0.998	18.65	18.52	1.83E+05	2.01E+05		11.85	15409.28	16945.15	16025.32	811.75	0.05	18.62	1.86E+05	1.57E+04
11/11/2019	DV	AV4	13WL	13	W	L	NA	0.6527	-3.162	36.57	0.997	19.75	19.92	2.08E+05	1.85E+05		10	20840	18470	19655	1676	0.09			
9/24/2019	DV	AV4	9WL	9	W	L	NA	0.1968	-3.324	35.6	0.997	17.65	17.99	2.61E+05	2.06E+05		10	26120	20620	23370	3889	0.17			
9/24/2019	DV	AV4	10WL	10	W	L	NA	0.1968	-3.324	35.6	0.997	17.85	17.7	2.27E+05	2.52E+05		10	22690	25210	23950	1782	0.07			
7/5/2019	DV	AV4	7WL	7	W	L	NA	0.5126	-3.254	37.18	0.999	19.81	19.23	2.32E+05	3.52E+05		10	23230	35190	29210	8457	0.29			
5/22/2019	DV	AV4	2WO	2	W	O	NA	0.3245	-3.285	0	0.998	NA	48.18	NA	1.87E-04		8.4	  	0	0			NA	NA	
7/5/2019	DV	AV4	8WO	8	W	O	NA	0.5126	-3.254	37.18	0.999	35.95	34.45	2.55E+00	7.39E+00		10	0.3	0.7	0.5	0.3	0.69			
5/22/2019	DV	AV4	4WO	4	W	O	NA	0.3245	-3.285	0	0.998	30.96	32.17	3.28E+01	1.40E+01		11.85	2.77	1.18	2.21	0.9	0.4	30.99	3.20E+01	2.70E+00
